d1	mir	case1	case2	case3	control1	control2	control3
d2	hsa-miR-422a	-3.2661448	-1.7977979	-3.1900218	1.9539491	2.419732	2.2760482
d3	hsa-miR-6516-3p	-3.2661448	-3.3218982	-3.1900218	4.87E-01	0.51346135	0.40700507
d4	hsa-miR-6848-3p	-3.2661448	0.29892936	-3.1900218	0.52541625	2.088224	1.9804062
d5	hsa-miR-486-3p	-3.2661448	-1.8421451	1.6242617	2.500094	2.3817563	2.2241924
d6	hsa-miR-3675-3p	-0.5487168	-2.618041	-3.1900218	1.4324781	0.28707606	1.5439607
d7	hsa-let-7b-3p	0.52541625	-2.4461586	-3.1900218	1.5439607	1.1056523	1.7319841
d8	hsa-miR-6731-3p	0.34820223	-2.4882283	-3.1900218	0.49870247	1.2697437	1.2138381
d9	hsa-miR-6760-3p	-3.2661448	0.15070587	-3.1900218	0.3303909	0.4725318	1.1056523
d10	hsa-miR-4323	0.29892936	-2.4595056	-3.1900218	0.40700507	1.1016747	1.3544903
d11	hsa-miR-191-5p	-3.2661448	-2.733302	-3.1900218	-1.8384496	1.1931934	-0.5328378
d12	hsa-miR-491-5p	-3.2661448	-2.6471436	-3.1900218	-1.845888	0.20455977	-0.5328378
d13	hsa-miR-222-3p	5.470042	6.7138143	6.07579	6.675636	7.5352736	7.8191204
d14	hsa-miR-3607-3p	3.091179	2.9058962	2.410788	3.4508762	4.075718	4.0438404
d15	hsa-miR-378f	3.520114	3.9595141	4.1838274	4.628954	5.11121	4.9751415
d16	hsa-miR-378e	3.048685	3.4282842	3.589955	4.1400375	4.524192	4.4122534
d17	hsa-miR-221-3p	7.7764688	8.658037	8.086056	8.528383	9.377672	9.548974
d18	hsa-miR-191-3p	1.7574812	1.098193	1.4964902	2.2125292	2.3086753	2.387824
d19	hsa-miR-378g	4.8823376	4.9962044	5.4167395	5.6842203	6.146229	5.9511037
d20	hsa-miR-495-3p	2.0615935	2.233179	2.1687858	2.8264058	3.2011511	2.8264058
d21	hsa-miR-4449	3.33675	3.0745163	2.843136	3.8069704	3.8492687	3.9685247
d22	hsa-miR-30b-3p	1.4035743	1.5308865	2.296512	2.410788	2.5088828	2.5999138
d23	hsa-miR-339-3p	1.4964902	1.4873782	2.2903407	2.3817563	2.4658725	2.6590252
d24	hsa-miR-378d	6.468607	6.647458	6.7902308	7.218334	7.4124374	7.321787
d25	hsa-miR-664a-3p	3.5458198	3.8492687	4.3387957	4.4679527	4.6745787	4.6187363
d26	hsa-miR-6508-5p	2.387824	1.8225374	1.5912133	2.5088828	2.696901	2.584857
d27	hsa-miR-378a-5p	6.1009827	6.2867856	6.2867856	6.6354866	7.037117	6.913662
d28	hsa-miR-361-3p	3.5798	4.2484584	4.2291994	4.714954	4.515976	4.6544943
d29	hsa-miR-17-3p	1.9402577	1.9953897	2.4077003	2.584857	2.627777	2.9540226
d30	hsa-miR-6749-5p	7.5782595	8.086056	7.8890767	7.470353	7.155839	6.9832497
d31	hsa-miR-34a-5p	6.877448	7.1043634	6.675636	6.6974454	6.07579	5.8433332
d32	hsa-miR-6812-5p	3.1538842	3.8632987	2.9313903	2.6387126	2.5554514	2.5554514
d33	hsa-miR-4687-3p	4.577631	5.014581	4.180482	4.0541053	3.6620069	3.7884147
d34	hsa-miR-4257	2.7180302	2.1337733	2.748561	1.660953	1.836386	1.795642
d35	hsa-miR-1268b	5.801134	4.942274	5.1464357	4.515976	4.635107	4.261962
d36	hsa-miR-3679-5p	4.3387957	4.3387957	3.707441	3.3895478	3.2704263	3.1658463
d37	hsa-miR-7110-5p	4.5673556	4.1636715	3.2805586	3.0745163	3.1753776	3.037921
d38	hsa-miR-8069	12.458692	13.207785	12.030331	11.88667	11.473619	11.592332
d39	hsa-miR-7107-5p	4.869501	4.714954	4.0686836	3.707441	3.650196	3.520114
d40	hsa-miR-1268a	5.8433332	4.7610006	5.387502	4.3387957	4.6187363	4.2291994
d41	hsa-miR-4455	4.2115364	4.189077	3.2380219	2.7668517	3.3273847	2.6872063
d42	hsa-miR-1587	4.714954	3.8135931	3.6068041	3.2977116	3.1658463	2.8102489
d43	hsa-miR-133a-5p	5.9305496	5.8588905	6.3962374	6.3272233	6.6354866	6.590381
d44	hsa-miR-4725-5p	2.088224	2.0381963	1.6339108	2.1687858	2.6707745	2.591585
d45	hsa-miR-664b-3p	4.075718	4.075718	3.8632987	4.4825506	4.4577036	4.7223563
d46	hsa-miR-30b-5p	10.938371	11.204041	11.050524	11.333463	11.741713	11.741713
d47	hsa-miR-30d-5p	9.513615	9.714092	9.513615	10.038968	10.143886	10.167851
d48	hsa-miR-186-5p	4.360507	4.8520465	4.5587792	4.8520465	5.1638536	5.317032
d49	hsa-miR-3151-3p	1.6242617	2.0204086	1.8168666	2.0381963	2.296512	2.4482248
d50	hsa-miR-484	4.063253	3.6068041	3.9595141	4.0848804	4.4122534	4.3387957
d51	hsa-miR-7641	8.581057	8.409877	8.581057	9.074731	8.7783985	8.877573
d52	hsa-miR-652-3p	5.17647	5.1464357	5.2116566	5.55E+00	5.553347	5.583391
d53	hsa-miR-10a-5p	2.6141112	3.0189137	2.8901024	3.2888234	3.131048	3.2536283
d54	hsa-miR-378i	10.752619	10.723524	10.688361	11.109009	11.204041	10.938371
d55	hsa-miR-455-5p	3.131048	3.2888234	3.4064746	3.650196	3.5325098	3.7026079
d56	hsa-miR-125a-5p	8.37367	8.051876	7.9940805	8.409877	8.483571	8.581057
d57	hsa-miR-30e-5p	8.7783985	8.877573	8.954035	9.16617	9.239602	9.239602
d58	hsa-miR-3653-3p	5.387502	5.343173	5.1638536	5.4444857	5.6842203	5.6842203
d59	hsa-miR-378a-3p	10.723524	10.651847	10.651847	10.938371	11.050524	10.86741
d60	hsa-miR-423-5p	5.1336145	4.9605913	4.9751415	5.317032	5.237687	5.343173
