u1	GeneSymbol	Case1	Case2	Case3	control1	control2	control3
u2	ABCA9	10.142209	10.187832	9.930017	9.781361	9.514488	9.621917
u3	ABCB11	1.6424456	1.5320067	2.1664915	1.0512848	1.1534029	1.0636703
u4	ABCC3	2.0839806	1.8781008	1.9152168	0.81803906	1.5828409	1.0007181
u5	ABCG4	3.2869549	3.0218694	2.8647354	1.6965436	2.0208566	1.4761909
u6	ABI3BP	9.200299	8.191087	8.320611	7.673786	7.19276	7.2851443
u7	ACBD7	13.326032	12.871858	13.117189	12.775136	12.559319	12.6226425
u8	ACER3	6.7421	6.710385	6.5727744	6.497736	6.0915713	6.116912
u9	ACR	3.607331	2.6081555	3.2581084	2.3729904	1.0240082	1.9079772
u10	ACTG2	7.767659	8.0924	7.8850803	7.390299	6.894698	7.158559
u11	ADAMTSL3	3.9735184	3.3809574	3.3194056	2.825281	2.4173298	3.069175
u12	ADARB2	4.118349	4.6432886	4.562485	3.7032602	3.653797	3.844828
u13	ADCY1	4.98951	4.786863	4.5789948	3.6551912	4.0064054	4.4790597
u14	ADGB	2.6623962	2.2927976	2.1868405	1.1438527	1.7300262	1.1363803
u15	ADRBK2	4.3232756	4.4109	4.516807	4.128455	3.327087	3.0892634
u16	AHI1	4.8301578	4.4173784	4.512908	4.3740506	3.9292529	3.9902868
u17	AHSP	4.504815	4.7735767	4.6820955	4.320713	4.053277	4.448144
u18	AIF1L	3.2605283	3.3525312	3.6946878	2.6566563	2.1687987	2.7463322
u19	ALDH1A1	8.323124	7.9196763	8.234512	7.7605925	7.616409	7.9208517
u20	ALDH1A3	4.986675	5.101768	4.518335	4.3945975	3.176362	3.6474988
u21	ALOX5	2.0078328	1.8469764	2.4567895	0.87976485	0.9860311	1.4875445
u22	AMMECR1	6.5812984	6.917796	6.45061	6.2843485	6.187761	6.0188317
u23	AMOT	6.154966	5.9522247	6.199668	5.345517	5.4066434	5.113822
u24	AMPD2	5.5358725	5.850085	5.949416	5.546019	5.1444197	4.97196
u25	ANKRD28	5.019126	5.317274	5.013934	4.60205	4.0857916	4.389448
u26	ANKRD36BP2	2.7980182	2.03668	1.9434066	1.8375503	1.1123364	1.1328871
u27	ANO10	5.0672894	5.44699	5.3527684	4.9344907	4.2271805	4.054005
u28	ANTXR2	11.034798	10.511768	10.504498	10.099172	10.128747	10.095116
u29	APCDD1L	3.8013682	3.2645056	3.5703788	2.5604281	1.8693663	2.66921
u30	APLP2	10.561002	10.566024	10.404182	10.040794	10.122932	10.062296
u31	APPL2	4.5762415	4.062906	4.3725867	3.7018452	3.8776035	4.0906954
u32	ARHGAP17	3.646202	4.069156	3.7058098	3.6067343	3.2461295	3.2770066
u33	ARHGAP22	3.8470712	4.0437856	3.6639366	3.4641488	3.373699	3.1200628
u34	ARHGAP29	4.946227	3.2277458	3.5252366	2.4336033	2.5655518	1.8674152
u35	ARHGDIG	4.396269	4.779775	5.389032	4.171895	4.064158	3.7699237
u36	ARID1B	5.9223332	5.5322666	6.0058255	5.4256077	4.8707156	5.3802066
u37	ARPC5	4.5405498	3.3806908	3.9356863	2.3428164	2.9072657	3.2329543
u38	ASIC1	3.7626522	3.7007842	3.6369267	3.2416506	3.242705	3.286778
u39	ATAD2	4.9329376	4.524982	4.2723103	3.593657	2.988003	3.8803277
u40	ATG10	4.5749307	4.532605	4.512196	4.4452267	3.8468413	3.9798114
u41	ATG16L1	11.506407	11.427185	11.425542	11.027133	10.884436	11.138415
u42	ATG4C	2.392518	2.05535	1.9456956	0.84929895	0.8525792	0.8570056
u43	ATP10B	10.836777	10.359301	10.260461	9.90513	9.957088	9.925845
u44	ATP1A1	6.697542	6.4499726	7.2081623	6.0957556	6.021711	6.393948
u45	ATP6V1E2	3.3205109	3.180162	3.56429	2.6678116	3.1385784	2.41708
u46	B4GALNT3	4.8384843	5.1197762	5.283867	4.754654	4.2651825	4.6175184
u47	B4GALT6	2.696242	3.0634634	2.4673393	0.96912795	2.457147	1.5872936
u48	BAMBI	10.525046	9.7883835	10.575215	9.535711	9.666771	9.335199
u49	BBS2	3.929634	3.5167813	3.4049115	2.88032	2.7763786	3.1682186
u50	BCL2L15	2.7262807	2.8296037	2.8958309	1.0941106	2.089333	1.1788994
u51	BFSP1	2.147059	2.0495872	2.3768382	1.5560055	1.8123709	1.81955
u52	BIRC6	3.5070333	2.6452248	2.9806952	0.86211604	2.4606838	1.7606337
u53	BMP4	6.981087	6.9326973	6.25737	6.0554385	5.9324245	6.0588865
u54	BNIP3L	13.4403305	13.074721	13.153616	12.6622305	12.941735	12.853625
