incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR749	ADGRA1-AS1:6	3.73236	3.1713467	3.008927	4.0844493	3.9903913	4.1430306
incR750	CFLAR-AS1:6	2.3556979	2.1282077	1.3707135	3.367398	2.4307046	2.8989096
incR751	HOTTIP:5	0.9852696	1.9795594	1.8328227	2.8406794	2.9086232	3.2208135
incR752	ITCH-AS1:1	2.0715525	0.81489867	0.90300614	3.0369296	2.8547826	1.8985302
incR753	KLF3-AS1:11	1.2055637	0.9824021	1.4539173	1.6774029	2.2296972	1.550959
incR754	LINC00310:16	6.779136	6.500812	6.8547897	7.2171264	7.5789814	7.536889
incR755	LINC00311:1	1.5367088	1.9850519	1.8815609	2.5271955	2.5757327	2.5598059
incR756	LINC00472:47	4.8152266	5.3715577	5.1571116	5.530924	5.8305125	5.6101236
incR757	LINC00519:1	2.172695	2.573818	1.5892538	3.2278564	3.0779743	3.639537
incR758	LINC00704:4	4.25447	4.423182	3.872635	4.7122226	4.613674	4.666375
incR759	LINC00710:4	3.1097898	3.2084773	2.5283296	3.6032195	3.4587495	4.0951104
incR760	LINC00907:16	1.2487419	2.7766054	1.022121	2.9819708	3.2134254	2.9429615
incR761	LINC01055:1	3.7452502	4.0681863	4.2136126	4.4310775	4.399315	4.5500007
incR762	LINC01099:2	3.2749958	3.481026	4.042874	4.373674	4.6722026	4.413155
incR763	LINC01114:8	5.726693	5.636997	5.9493175	6.3299494	6.07826	6.1647263
incR764	LINC01153:1	2.8137531	2.0481627	1.9845291	3.039104	3.3821628	2.9290428
incR765	LINC01427:7	1.0201111	1.2365558	2.0408003	2.1493697	2.1541615	2.7817862
incR766	lnc-A1BG-3:1	1.7799438	0.86357725	1.4886866	2.5522366	3.3408976	2.1021032
incR767	lnc-ABAT-3:1	3.249304	3.3445134	3.2786558	3.8233247	3.63013	3.8273773
incR768	lnc-ABCA1-4:1	4.1750584	3.5097454	4.323792	4.917407	4.5037374	4.563996
incR769	lnc-ABHD5-2:1	0.869282	0.97862995	0.89767426	2.5536807	2.2285953	2.353282
incR770	lnc-AC006156.2-16:1	5.051645	5.615431	5.151701	5.7183886	5.843379	6.0769143
incR771	lnc-AC008073.6.1-2:1	6.7693458	6.4747105	6.8653107	7.167533	7.271039	7.183407
incR772	lnc-AC009365.3.1-1:5	3.7277758	3.9679372	3.8054159	3.987125	4.551681	4.3731356
incR773	lnc-AC015989.1-2:1	1.7280171	0.8405843	1.182173	2.2248778	2.2777286	2.584205
incR774	lnc-AC017104.2.1-1:1	2.4208636	1.7512639	1.76107	3.0035365	3.4091988	3.5057638
incR775	lnc-AC025287.1-5:1	1.049345	1.1348355	0.9977629	2.9043298	2.111107	2.2895393
incR776	lnc-AC069257.9.1-9:1	4.7113113	4.575636	5.1453114	5.240432	5.392399	5.43502
incR777	lnc-AC090186.1-8:1	1.3417062	1.0983964	1.5827131	1.5272969	2.6918516	2.8216574
incR778	lnc-AC107021.1-9:1	6.2795935	5.786638	5.9941573	6.5590987	6.5114965	6.557616
incR779	lnc-AC108938.5.1-4:1	5.149017	5.038923	4.997117	5.2864075	5.6197586	5.620954
incR780	lnc-AC110080.1-4:12	3.9463882	4.1545944	4.12304	4.6865087	4.655546	4.74485
incR781	lnc-AC135352.1-1:2	6.7077045	6.208576	6.5828767	6.8293633	7.0875607	6.959238
incR782	lnc-AC233282.2-2:1	1.1454595	1.8303797	1.5098097	2.3953764	2.3362954	2.2714515
incR783	lnc-ACAD11-1:1	10.418653	10.603155	10.238615	10.795897	11.228387	11.139477
incR784	lnc-ACD-1:1	0.9005333	1.3325449	0.82715994	2.5113187	2.388409	1.5977863
incR785	lnc-ACRC-6:1	1.5457654	1.6619623	1.5340574	2.512099	2.1644814	2.2160518
incR786	lnc-ACSBG2-2:1	14.01286	13.996316	13.682781	14.099964	14.629287	14.580181
incR787	lnc-ACTL10-1:1	4.1997633	4.4369316	4.583735	4.806304	4.9942317	5.1899047
incR788	lnc-ACTL7A-3:1	1.8934764	2.5425901	2.2545547	3.5361903	2.904276	2.9916718
incR789	lnc-ACVR2A-11:1	4.242323	4.1773105	4.2161784	4.697668	5.0099206	4.6820955
incR790	lnc-ADAM2-5:1	6.4127707	6.5383396	6.75527	6.968317	7.2996426	7.4174223
incR791	lnc-ADAMTS5-3:5	0.88951707	0.9115001	0.9166013	1.6494751	1.754776	1.3453639
incR792	lnc-ADARB2-10:2	3.0749474	3.378097	2.7836645	4.0984497	3.9755578	4.357283
incR793	lnc-ADAT3-1:1	1.3242772	2.0589442	1.9792322	2.8474798	3.740536	3.251706
incR794	lnc-ADCY8-3:1	2.4957657	2.1543317	2.4358075	3.072905	3.880902	3.0504913
incR795	lnc-ADPRHL2-1:1	3.6321273	4.7133775	4.831716	5.262512	5.1637974	5.5045567
incR796	lnc-AE000662.92.1-7:1	7.6620803	7.685425	8.062225	8.184661	8.473201	8.368083
incR797	lnc-AF127577.1-10:1	1.1670841	1.4689038	2.0400598	2.150321	3.1001544	2.875456
incR798	lnc-AFM-3:1	1.8474063	2.0210052	2.909363	3.2804387	3.2278564	3.2926295
incR799	lnc-AGBL1-4:2	0.90521234	0.9294539	1.845759	2.328684	2.1189475	2.299584
incR800	lnc-AGPAT4-2:1	3.8763885	4.2355595	3.838818	4.536642	4.46459	4.351476
incR801	lnc-AGPS-5:2	3.0014231	3.209476	2.8750246	3.7878563	3.505403	3.6211395
incR802	lnc-AHI1-5:1	2.398119	2.0082242	2.5631878	2.6202211	2.94657	2.9553225
incR803	lnc-AL033381.1-23:1	1.0875528	0.92791784	0.85131735	1.5137831	1.1386284	1.4612216
incR804	lnc-AL078585.1-14:1	12.350014	12.584984	12.204758	12.647107	13.179739	13.064051
incR805	lnc-AL360004.1-4:2	0.87514675	1.072745	0.9143088	2.1167085	2.2056515	2.5309882
incR806	lnc-AL901608.1-38:1	1.1376832	1.1721681	0.9606227	2.8259444	2.1564853	2.4765866
incR807	lnc-ALK-3:1	3.5403907	3.4682996	3.552453	4.1463118	3.8002992	4.0316095
incR808	lnc-AMDHD1-2:1	2.4475532	3.1532161	2.802729	3.862134	4.0401893	3.362707
incR809	lnc-AMIGO1-2:1	4.6609325	4.5746	4.36317	4.880941	5.2696915	4.820089
incR810	lnc-AMPH-8:1	3.5680573	3.6955724	3.6942458	4.001521	4.5049667	4.286451
incR811	lnc-ANGPTL1-10:1	3.2892604	3.2674415	3.6010554	3.797431	3.9616487	3.6759124
