incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR1	DANT2:1	7.228811	6.702627	6.8743825	6.483571	6.5076065	6.45814
incR2	EHHADH-AS1:2	3.1123247	2.3408773	2.4479163	1.6242862	1.404727	1.129945
incR3	FTX:3	6.6707296	5.948735	5.658274	5.1765766	5.1883907	5.0745378
incR4	GMDS-AS1:22	4.348852	3.670584	4.5480647	3.5004072	3.529222	3.34263
incR5	KANTR:12	4.2723103	4.151682	4.3191915	3.5675292	3.7684958	3.8325858
incR6	KCNAB1-AS1:1	3.3260581	3.808885	3.3250997	3.2708347	2.261091	2.4329784
incR7	KCNIP2-AS1:2	2.1461365	2.369361	1.2962412	1.2788497	1.1399442	1.083559
incR8	LINC00189:5	2.197173	1.9495907	1.6876227	1.3750572	1.6099181	1.4396452
incR9	LINC00426:23	2.9725509	3.0092325	2.626949	2.434972	2.2802155	1.5149077
incR10	LINC00472:10	3.761829	4.393029	3.6796772	2.7529082	3.224855	3.5698168
incR11	LINC00637:1	9.291683	9.256987	9.288988	8.626273	8.706516	8.851483
incR12	LINC00693:6	4.481495	4.7314305	4.7705264	4.487727	3.91688	4.1660795
incR13	LINC00882:19	7.2195883	6.4264617	6.5672507	6.310983	5.765479	6.0730224
incR14	LINC01057:14	4.0093813	4.14363	4.3204193	3.6174288	2.4645703	2.1056166
incR15	LINC01059:1	3.6989176	3.798647	3.6842802	3.2437973	2.945253	2.899047
incR16	LINC01135:8	3.5857215	3.2328098	4.458708	2.5036829	1.8548266	2.8695793
incR17	LINC01167:1	2.8211107	1.6013858	2.9601808	1.1000478	1.0739625	1.7425781
incR18	LINC01296:20	3.5048945	4.2492313	3.465578	2.43703	3.0521145	2.3619032
incR19	LINC01515:20	3.3522608	2.7075548	2.1845036	0.8468904	0.8339035	0.82230735
incR20	lnc-AADACL4-2:1	3.1256018	3.3434153	4.307604	2.9054363	2.5694342	2.0339658
incR21	lnc-ABCC3-1:1	2.880742	2.4882252	3.207699	1.7911711	1.4394728	2.4349165
incR22	lnc-ABHD8-1:1	2.0430548	1.6674476	1.9389187	1.5466273	1.6491593	1.2632135
incR23	lnc-AC006946.15.1-3:1	7.0545444	7.2565126	7.273983	6.4527483	6.479737	6.6503286
incR24	lnc-AC011294.3.1-2:4	6.2756696	5.9398494	5.7616167	5.6030717	5.549036	5.4446864
incR25	lnc-AC011450.1-2:3	3.0368354	2.2840357	2.6122715	2.135137	1.0134189	1.5270241
incR26	lnc-AC015987.1-7:1	8.889849	8.706516	8.373722	8.18751	8.282436	8.254807
incR27	lnc-AC017028.1-6:1	6.248226	6.6288447	6.4203124	5.8465395	5.7412977	6.1650786
incR28	lnc-AC022498.1-2:3	5.038923	5.1327977	4.4347453	3.917726	4.520933	4.0533996
incR29	lnc-AC023469.1.1-2:1	4.43999	4.7104993	4.494941	4.240058	3.3249826	4.03983
incR30	lnc-AC027323.1-2:1	8.556101	8.3636675	8.276474	7.7428646	8.155425	7.5347476
incR31	lnc-AC068473.1-9:1	3.3740811	2.7560678	3.118034	2.4741757	2.5873597	1.8314539
incR32	lnc-AC073416.2-10:1	3.6023104	3.0965736	3.8804471	2.8502412	1.8594677	2.844103
incR33	lnc-AC079341.1-10:1	2.976809	2.538936	2.3663323	0.85024065	1.9173613	0.82470673
incR34	lnc-AC087650.1-2:1	5.930983	4.7408314	5.1530566	2.3672786	4.446038	2.828463
incR35	lnc-AC092329.1-1:21	4.3070693	3.91579	3.6857417	2.9626212	3.6251638	2.9577303
incR36	lnc-AC093726.6.1-5:1	3.414346	3.5050137	2.9368706	2.378785	2.768115	2.5547771
incR37	lnc-AC110373.1-8:20	4.0084476	3.538204	3.5276678	2.5703366	2.1181912	2.4325461
incR38	lnc-AC112715.2.1-1:1	2.071748	2.5095582	2.911385	1.0360272	0.99984306	0.98076665
incR39	lnc-AC114546.1-15:1	2.3738115	2.4618812	2.4846864	1.6113428	2.2190952	1.8257617
incR40	lnc-AC114546.1-9:1	3.413898	3.1563137	2.8791018	2.2157397	1.8429344	2.5320578
incR41	lnc-AC114783.1.1-5:1	3.1307824	2.6395094	2.381736	1.9471006	2.3667073	1.9044892
incR42	lnc-AC118344.1-2:1	11.065155	11.163643	11.0137825	10.759372	10.201399	10.826615
incR43	lnc-ACAA1-2:1	2.4156477	2.652857	1.6024262	1.0893469	1.5439377	1.1268189
incR44	lnc-ACBD3-2:1	4.857952	5.356209	5.143027	4.3435307	4.7084203	4.7548275
incR45	lnc-ACBD6-7:1	1.2595664	1.3793137	2.1723075	0.8143722	0.80227274	0.80243516
incR46	lnc-ACER1-1:1	3.239274	3.7377715	3.766168	3.0182886	3.2074742	3.1780157
incR47	lnc-ACTG1-3:1	4.334818	4.56542	4.1190767	3.430537	3.106068	2.7488015
incR48	lnc-ACTL6A-1:1	5.680117	5.5522747	5.970133	5.341919	5.1877365	5.335428
incR49	lnc-ACTR1B-6:1	3.3258767	2.6317623	1.5752639	0.88540757	0.9100231	1.6063522
incR50	lnc-ACYP2-7:1	5.4685316	5.326021	5.0467033	4.6615973	4.8017335	4.980464
incR51	lnc-ADAM10-8:1	5.464044	5.2509203	4.617753	4.67576	3.9909577	4.254809
incR52	lnc-ADAMTS18-3:1	1.7153031	1.8280723	1.3712059	1.1715202	1.0257105	0.98691994
