0	gene	DN	DN	DN	ctrl	ctrl	ctrl
8033	Sep-02	13.37278346	12.72538756	13.37559609	14.42535361	14.19100522	14.26655964
5280	Mar-06	9.139039668	9.36157823	9.34022087	10.17092653	10.37115915	9.829458428
8037	Sep-08	8.907191126	10.03713509	9.505017556	10.6727789	10.59758704	10.54003115
8039	Sep-10	10.38154295	11.05704405	9.298062568	11.59334443	12.02600464	11.6671559
8040	Sep-11	8.804260116	8.287158278	7.848497755	9.891935558	10.01808888	9.28701972
7	AASS	7.45532722	9.24055285	7.069315495	9.696445976	9.559377091	9.035898787
53	ABI1	9.386185839	9.221828758	7.657139777	10.42757475	10.28973074	9.710375971
72	ACADM	10.22363975	10.81890168	9.572321268	11.57941023	11.64069684	11.18351133
81	ACBD3	8.33315535	9.73352382	8.948659246	10.25679839	10.45306481	10.40556697
85	ACIN1	9.452653086	9.669062209	9.751544059	10.60806997	11.1396153	11.0905756
108	ACSL3	9.132756757	8.667998536	8.53838296	9.933469366	10.27530975	9.452858965
116	ACTB	13.7929631	13.4501029	14.98440066	15.36190609	15.14237834	15.0041151
131	ACTR3	9.755221421	11.0458279	10.6265304	11.69479315	11.98513037	11.41161691
170	ADCY7	3.666756592	4.727920455	6.183883459	7.94016675	7.414473836	6.921245889
177	ADD3	10.85521889	11.16446701	10.02132703	12.3974741	12.39910432	11.33829069
189	ADM	10.21298267	10.03727239	10.80654962	12.06029062	12.04217235	11.43269848
193	ADORA1	9.120756273	9.581388911	10.53537259	11.64358566	11.91195368	12.41534566
238	AGRN	12.40181283	12.79670887	13.04548666	13.96491841	13.87402077	13.4261468
256	AIF1	9.266083758	9.517078805	9.405283172	11.64338994	11.72219532	10.89228932
309	ALDH1A3	6.984133595	6.806066226	6.520422249	8.427522371	7.602884409	7.663913842
315	ALDH3B1	9.626621652	6.539158811	7.470862199	9.359310317	9.946760097	9.975131457
328	ALG8	9.134939643	8.770498721	8.271463028	9.732506644	9.468013034	9.991238381
350	AMFR	10.18164922	9.780867802	9.80138503	10.7232343	10.42006548	10.88096096
355	AMOT	10.8337598	10.53167387	10.06460805	11.63354019	11.08228213	12.06039196
381	ANKRD17	9.112178834	9.947490835	8.612868497	10.49705344	10.27111282	10.46923479
396	ANXA1	9.963907561	10.46587246	9.973410377	11.24120858	11.70026631	11.61249995
402	ANXA2P1	8.065550771	8.817623258	8.836366009	11.3977281	11.66155544	10.73859897
425	AP3B1	9.539740426	9.187846909	8.905687849	10.07307042	10.68755065	9.976420921
429	AP3S1	10.62762508	11.18871246	10.14605947	11.67131991	11.64790807	11.37183108
433	AP4S1	6.793115555	6.871597266	5.121015401	7.733354341	8.218684313	8.564911611
464	APOD	9.992513535	9.071730497	10.37014248	12.39521279	13.01957335	12.44855514
468	APOL1	9.720757277	8.72417275	9.492053457	11.77840572	11.95641246	10.49125185
472	APPBP2	8.197953828	7.982423227	7.94016675	9.016808288	9.306289585	8.823526469
494	ARF4	11.06332766	11.63403959	11.45038648	11.93770484	12.33293166	12.59381126
496	ARF6	9.437231901	10.30600471	9.554109153	10.93671154	11.8878489	11.60432156
509	ARHGAP19	9.234338449	8.198199455	8.511752654	9.932805294	10.2366122	9.960291601
531	ARHGEF18	10.2671378	10.16641418	9.811053524	11.44133615	11.34911533	11.6794801
547	ARL1	5.485426827	6.605849867	4.523561956	9.586652169	8.98783245	8.351822645
606	ASMTL	9.873444113	10.37210326	10.27798475	11.09325249	10.81305966	10.99269055
610	ASPH	7.160879862	5.885086225	6.287250643	8.846117173	8.427103287	8.819859747
631	ATG4B	7.917073663	7.993221467	7.509379149	8.603626345	8.895726738	9.635173947
634	ATIC	8.522385366	8.381975479	8.904484098	9.284939742	9.326204751	9.63499251
642	ATP10D	9.726388479	9.549207089	8.539934245	10.64925618	10.73918991	10.14618679
644	ATP11B	10.02597005	9.761385014	9.858913471	10.68509917	10.62067804	10.74617838
646	ATP13A3	11.14497682	11.41188168	10.53741256	12.47365502	12.09872299	11.57747604
654	ATP2A2	9.574309691	9.612315635	9.799281622	10.99038765	10.96628914	10.85953479
679	ATP6AP2	7.201143732	7.727580156	8.338067798	9.496354489	9.800090988	9.680447436
687	ATP6V1A	9.739864975	10.34418493	9.94602899	10.98825863	10.83853426	10.78985964
700	ATP8A1	5.553053253	6.489446599	6.864805194	7.746850183	7.617651119	7.208965886
704	ATP9A	9.102763097	8.444186663	9.458816703	10.46648438	10.19819946	10.31560246
711	ATRX	9.14127695	9.417641579	8.473299871	9.940313597	9.933174261	9.773139207
713	ATXN10	10.07083608	10.18367632	10.0824152	11.20467262	11.33959005	11.24717572
728	AVL9	7.162894799	6.690696444	6.493455201	7.344295908	8.746514321	7.533719071
734	AXL	8.91129191	7.95516515	8.714130784	9.743151394	9.403225109	9.318843971
745	B3GNT1	9.720586291	9.065281486	10.25408378	11.35529603	11.2273151	11.9947777
750	B4GALT2	9.115823977	9.162894799	9.680183682	10.22351909	10.39349772	10.12515513
760	BAG2	5.930737338	6.687900522	4.892391026	7.710806434	7.178913785	7.87036472
