0	gene	DN	DN	DN	ctrl	ctrl	ctrl
3	AAMP	11.39365859	10.70147975	10.86735597	9.68580002	10.35601172	10.22025739
4	AANAT	11.51431955	12.22049925	11.12850994	10.90275194	9.541677449	10.6450279
10	ABAT	8.823579329	9.815703503	8.179079551	8.240791332	7.335091958	7.547151345
22	ABCB11	9.609732804	9.265380633	7.511752654	7.608809243	7.029011087	6.568336182
31	ABCC3	8.86913112	9.047123912	9.196725061	6.796364138	7.532550739	8.228578221
33	ABCC5	10.56243324	9.765810861	10.16875484	9.231061059	9.007681309	9.31030967
36	ABCC8	9.783325685	10.0486231	10.32502431	8.899810054	9.463830862	9.365556946
50	ABHD2	9.845803646	9.315149562	8.746178381	7.486231678	8.609917445	6.785288981
57	ABLIM1	9.139039668	7.433794059	9.542644987	7.74348804	6.061776198	6.329123596
58	ABLIM3	10.23983717	10.55199658	10.08547246	8.359310317	9.106170317	8.958262697
76	ACAN	7.784852706	7.792898289	6.95419631	5.705056162	7.206199737	6.017179441
77	ACAP1	8.064473329	8.842035997	7.770829046	7.183883459	7.205548911	6.813781191
79	ACAT1	9.171677212	8.336729697	8.301953395	6.261154673	8.33583694	6.454504938
82	ACD	12.02423933	11.72331964	11.85010868	10.97024972	10.99074218	11.2620361
83	ACE	9.87835751	8.100136671	9.739949336	6.678071905	7.310158318	6.545350645
84	ACHE	8.567829097	8.469370345	8.469777331	7.615445725	8.088346221	7.590462048
90	ACO1	10.91871419	10.80671072	10.75855636	10.10603942	10.13082793	10.24305494
104	ACR	10.49515549	10.85081192	10.40301202	8.865114619	7.146695948	9.187599513
110	ACSL6	8.422064766	8.820178962	7.782015335	5.807354922	5.116863758	7.526694846
111	ACSM1	6.223036338	7.783980414	6.949534933	5.984133595	5.738767837	3.201633861
112	ACSM2A	10.68790052	11.7486541	10.49024921	9.921989661	10.32339259	9.00365845
125	ACTN2	6.314696526	6.757556689	6.893604905	5.837943242	5.649615459	5.197708158
135	ACVR2B	7.453682186	8.130313146	8.121015401	6.94016675	7.110613806	6.081083929
136	ACVRL1	11.92101003	11.595568	10.87776955	9.922287062	10.53440016	10.28717329
142	ADAM12	7.838573653	8.784471265	8.069584028	7.640244936	7.024585638	7.393175914
143	ADAM15	12.27720021	11.83229668	12.35689208	11.69575028	11.27833329	10.93994645
145	ADAM18	8.121533517	5.599912842	5.472487771	2.432959407	3.632268215	3.321928095
148	ADAM20	8.631904587	8.982708429	8.411087227	8.388447876	7.325530332	7.167919866
150	ADAM22	8.606682805	7.354249382	8.155830172	6.711150711	6.286788759	6.06608919
156	ADAM8	10.01388094	10.06312539	10.12243977	9.326204751	8.792790294	8.302867361
159	ADAMTS2	8.669239411	8.504620392	7.862327401	6.093813673	6.543805176	6.845490051
160	ADAMTS3	7.674545394	7.675957033	8.082149041	5.951867504	5.277984747	5.292781749
161	ADAMTSL2	12.5553081	12.34254697	11.86003941	10.83888875	10.88600135	11.49290468
165	ADCY1	9.726729059	9.34894941	8.722295241	7.376342483	7.340740281	7.928962441
