d1	GeneSymbol	Case1	Case2	Case3	control1	control2	control3
d2	ABCG5	7.7519445	8.046951	8.07959	8.106014	8.463747	8.44836
d3	ABHD12B	5.575534	6.0174522	5.435674	6.086134	6.2273045	6.2159424
d4	ABHD17B	5.0795217	5.039056	4.7798367	5.198847	5.6970973	5.3101954
d5	ACP5	4.1357975	3.744669	3.5554926	4.5298305	4.3391566	4.0969095
d6	ADSL	9.021886	8.864957	9.08198	9.259976	9.726456	9.625003
d7	AHCY	9.234507	8.884609	8.993288	9.23253	9.607624	9.619509
d8	AK9	4.060093	4.5660625	4.0223866	4.6453824	4.6633415	4.804333
d9	AKAP1	11.421127	11.741391	11.4749565	11.681766	12.039542	12.091836
d10	AKR1B10	3.4742868	3.6554897	3.154123	3.8906891	3.889697	3.9556103
d11	AP3M2	4.729962	5.2110457	5.0246224	5.536989	5.5501733	5.323321
d12	APOBEC3F	3.776463	3.5877557	3.2788775	3.838715	3.9747734	4.0351715
d13	ARHGEF5	2.2324789	2.7835236	2.520399	2.8533978	2.9527762	3.0820005
d14	ARMC12	2.5832088	2.6413405	2.437302	3.1177993	2.991965	2.9259384
d15	ATAD3C	4.3423223	4.7484145	4.6536446	4.9808297	4.8938	5.105481
d16	ATF7IP2	4.040312	3.8291585	3.797579	4.407731	4.580654	4.2105203
d17	ATP6V1E1	9.135903	9.209316	9.475453	9.613806	9.827014	9.685938
d18	AZU1	5.103137	4.8987193	5.3360033	5.406753	5.711447	5.462341
d19	BAG1	8.643384	8.74765	8.435972	8.7818775	9.1586685	9.143587
d20	BANP	7.1908274	7.2568445	6.873867	7.3941793	7.579213	7.7414675
d21	BCL2	7.6817155	7.4588065	7.2172737	8.196235	7.8361464	7.782578
d22	BDP1	6.4110384	6.3718762	6.1676874	6.9283266	6.589536	6.6694775
d23	BRDT	1.0877544	0.88917583	0.8769493	1.3562865	1.5571153	1.3469725
d24	BSPH1	5.2035623	5.3316326	5.268262	5.5953155	5.895439	5.8479586
