Source	Target	IntType	TrueNNVeri	Weight
miR-133a	ABCG4	Activate	0	0.078237
miR-133a	ABI3BP	Activate	0	0.000655
miR-133a	ACR	Activate	0	0.365346
miR-133a	ADAMTSL3	Activate	0	0.441581
miR-133a	ADCY1	Activate	0	0.115625
miR-133a	ADGB	Activate	0	0.063780
miR-133a	ALDH1A3	Activate	0	0.155212
miR-133a	ALOX5	Activate	0	0.083746
miR-133a	ANKRD28	Activate	1	0.058115
miR-133a	ANKRD36BP2	Activate	0	0.266728
miR-133a	ANTXR2	Activate	0	0.019960
miR-133a	APCDD1L	Activate	0	0.434145
miR-133a	APPL2	Activate	1	0.259178
miR-133a	ARHGAP29	Activate	0	0.459763
miR-133a	ARPC5	Activate	1	0.389311
miR-133a	ATAD2	Activate	0	0.536375
miR-133a	ATG16L1	Inhabit	0	-2.283271
miR-133a	ATG4C	Activate	0	0.221620
miR-133a	ATP10B	Activate	0	0.020746
miR-133a	BBS2	Activate	0	0.266706
miR-133a	BIRC6	Activate	0	0.037484
miR-133a	BNIP3L	Activate	1	12.535899
miR-133a	C16ORF80	Activate	0	0.298305
miR-133a	C5	Activate	0	0.249363
miR-133a	C5ORF34	Activate	0	0.286464
miR-133a	C6ORF163	Activate	0	0.334516
miR-133a	C9ORF47	Activate	0	0.052431
miR-133a	CAB39	Activate	0	0.392882
miR-133a	CACNA2D3	Activate	0	0.267989
miR-133a	CACNG4	Activate	0	0.356368
miR-133a	CACYBP	Activate	0	0.164366
miR-133a	CDK17	Activate	0	0.407837
miR-133a	CEACAM5	Activate	0	0.232615
miR-133a	CEP170	Activate	0	0.258872
miR-133a	CES1	Activate	0	0.450171
miR-133a	CLTC	Activate	1	0.297355
miR-133a	CNST	Activate	0	0.256001
miR-133a	CNTN3	Activate	0	0.498919
miR-133a	COL16A1	Activate	0	0.304145
miR-133a	COL4A3	Activate	0	0.161213
miR-133a	COL6A2	Activate	0	0.176502
miR-133a	CPT1C	Activate	0	0.350407
miR-133a	CTH	Activate	1	0.188412
miR-133a	CXORF38	Activate	0	0.252396
miR-133a	CYFIP2	Activate	0	0.315417
miR-133a	CYGB	Activate	0	2.175381
miR-133a	CYP1A2	Activate	0	0.058262
miR-133a	CYP27A1	Activate	0	0.430722
miR-133a	CYYR1	Activate	0	0.285952
miR-133a	DAK	Activate	0	0.381545
miR-133a	DCLK1	Activate	0	0.319678
miR-133a	DCTN5	Activate	0	0.176599
miR-133a	DDX26B	Activate	0	0.068241
miR-133a	DHDH	Activate	0	0.289964
miR-133a	DHX36	Activate	0	0.000781
miR-133a	DLG2	Activate	1	0.046948
miR-133a	DST	Activate	0	0.132576
miR-133a	ECM2	Activate	0	0.435483
miR-133a	ECT2L	Activate	0	0.190424
miR-133a	EIF5	Activate	0	0.287319
miR-133a	EPHA7	Activate	1	0.503320
miR-133a	EPS15	Activate	1	0.324018
miR-133a	ETV1	Activate	0	0.528633
miR-133a	EWSR1	Activate	0	0.088611
miR-133a	EXD3	Activate	0	0.234164
miR-133a	FAM120C	Activate	1	0.017377
miR-133a	FAM122C	Activate	0	0.079778
miR-133a	FANCD2	Activate	0	0.352519
miR-133a	FBN1	Inhabit	1	-0.917653
miR-133a	FKBPL	Activate	0	0.219386
miR-133a	FNDC1	Activate	0	0.269046
miR-133a	FOXJ1	Activate	0	0.006235
miR-133a	FRMPD1	Activate	0	0.054112
miR-133a	GAFA1	Activate	0	0.357147
miR-133a	GALNT12	Activate	0	0.237538
miR-133a	GATAD2A	Activate	0	0.182056
miR-133a	GLI3	Activate	0	0.209472
miR-133a	GPCPD1	Activate	0	0.268478
miR-133a	GPM6B	Activate	0	0.222428
miR-133a	GPR64	Activate	0	0.173516
miR-133a	HAS2	Activate	0	0.321629
miR-133a	HCN4	Activate	1	0.257642
miR-133a	HHIP	Activate	0	0.310105
miR-133a	HHIPL1	Activate	0	0.328618
miR-133a	HIST2H2BA	Activate	0	0.150918
miR-133a	HTRA3	Activate	0	0.255264
miR-133a	HYDIN	Activate	0	0.179908
miR-133a	IFNA2	Activate	0	0.256575
miR-133a	IL17D	Activate	0	0.295393
miR-133a	IL1RAP	Activate	0	0.071167
miR-133a	KAZN	Activate	0	0.002099
miR-133a	KCND1	Activate	0	0.295618
miR-133a	KCNMA1	Activate	0	0.196813
miR-133a	KIAA1598	Activate	0	0.044494
miR-133a	KRTAP9-4	Activate	0	0.299481
miR-133a	KYNU	Activate	0	0.301762
miR-133a	LEKR1	Activate	0	0.197004
miR-133a	LIF	Activate	0	0.493642
miR-133a	LINGO1	Activate	0	0.297468
miR-133a	LMTK3	Activate	0	0.205985
miR-133a	LOC100128075	Activate	0	0.120276
miR-133a	LOC100128668	Activate	0	0.110434
miR-133a	LOC100129900	Activate	0	0.188937
miR-133a	LOC100130880	Activate	0	0.202084
miR-133a	LOC100131826	Activate	0	0.262868
miR-133a	LOC100509780	Activate	0	0.188732
miR-133a	LOC101929076	Activate	0	0.196100
miR-133a	MAD1L1	Activate	0	0.050018
miR-133a	MAGED4B	Activate	0	0.408461
miR-133a	MAST4	Activate	0	0.457753
miR-133a	MBL2	Activate	0	0.126731
miR-133a	MGAT4C	Activate	0	0.359838
miR-133a	MGC24103	Activate	0	0.184271
miR-133a	MIA	Activate	0	0.516523
