RowID	Symbol	TYPE	AveExVal
u2	ABCA9	0	9.862971
u3	ABCB11	0	1.434884
u4	ABCC3	0	1.546483
u5	ABCG4	0	2.394525
u6	ABI3BP	0	7.977281
u7	ACBD7	0	12.878696
u8	ACER3	0	6.455246
u9	ACR	0	2.463095
u10	ACTG2	0	7.531449
u11	ADAMTSL3	0	3.164278
u12	ADARB2	0	4.087668
u13	ADCY1	0	4.416004
u14	ADGB	0	1.858716
u15	ADRBK2	0	3.965965
u16	AHI1	0	4.342339
u17	AHSP	0	4.463770
u18	AIF1L	0	2.979922
u19	ALDH1A1	0	7.962528
u20	ALDH1A3	0	4.304206
u21	ALOX5	0	1.610823
u22	AMMECR1	0	6.406774
u23	AMOT	1	5.695474
u24	AMPD2	0	5.499629
u25	ANKRD28	0	4.737937
u26	ANKRD36BP2	0	1.810146
u27	ANO10	0	4.847121
u28	ANTXR2	0	10.395683
u29	APCDD1L	0	2.955876
u30	APLP2	0	10.292872
u31	APPL2	0	4.113646
u32	ARHGAP17	0	3.591840
u33	ARHGAP22	0	3.585451
u34	ARHGAP29	0	3.094297
u35	ARHGDIG	0	4.428509
u36	ARID1B	0	5.522826
u37	ARPC5	0	3.389994
u38	ASIC1	0	3.478583
u39	ATAD2	0	4.032036
u40	ATG10	0	4.315269
u41	ATG16L1	0	11.234853
u42	ATG4C	0	1.492075
u43	ATP10B	0	10.207434
u44	ATP1A1	0	6.477849
u45	ATP6V1E2	0	3.048072
u46	B4GALNT3	0	4.813247
u47	B4GALT6	0	2.206769
u48	BAMBI	0	9.904388
u49	BBS2	0	3.279374
u50	BCL2L15	0	2.135676
u51	BFSP1	0	1.960235
u52	BIRC6	0	2.369398
u53	BMP4	0	6.369651
u54	BNIP3L	0	13.021043
u55	BOC	0	4.247545
u56	BRD7	1	6.016599
u57	BRE	0	2.949897
u58	BRWD1	0	5.141050
u59	BSDC1	0	2.496677
u60	C10ORF54	0	7.888842
u61	C11ORF24	0	7.877289
u62	C12ORF40	0	5.256943
u63	C16ORF71	0	4.708884
u64	C16ORF80	0	1.982197
u65	C17ORF67	0	2.127003
u66	C19ORF81	0	4.200177
u67	C1S	0	7.634852
u68	C2ORF15	0	1.444404
u69	C2ORF43	0	4.321142
u70	C3ORF52	0	4.238759
u71	C5	0	1.655887
u72	C5ORF34	0	1.927404
u73	C6ORF163	0	2.476761
u74	C9ORF47	0	1.432223
u75	CA13	0	4.303189
u76	CA4	0	7.801343
u77	CAB39	0	3.358171
u78	CACNA1B	0	6.838471
u79	CACNA2D3	0	1.799987
u80	CACNB2	0	3.776718
u81	CACNG4	0	2.402144
u82	CACYBP	0	1.746141
u83	CAPN10	0	4.188784
u84	CAPZA1	0	7.470048
u85	CARD10	0	7.570881
u86	CASC1	0	1.782395
u87	CATSPER1	0	1.320718
u88	CBLN3	0	1.253427
u89	CBR3	0	1.806545
u90	CCDC108	0	5.533038
u91	CCDC125	0	7.260773
u92	CCDC150	0	2.847063
u93	CCDC6	0	6.477351
u94	CCNL1	0	6.801345
u95	CD200	0	5.055435
u96	CD207	0	1.972474
u97	CD84	0	4.839264
u98	CDH13	0	7.100615
u99	CDK17	0	3.257445
u100	CEACAM5	0	2.287942
u101	CELF6	0	9.179603
u102	CENPN	0	1.446462
u103	CEP170	0	1.751462
u104	CERCAM	0	7.417875
u105	CES1	0	3.441667
u106	CES3	0	4.246526
u107	CHRFAM7A	0	3.334151
u108	CHRM2	0	10.078147
u109	CLDN4	0	5.288951
u110	CLEC4G	0	2.683722
u111	CLSTN2	0	2.835503
u112	CLTC	0	3.109407
u113	CNN3	0	4.600535
u114	CNST	0	3.800766
u115	CNTN3	0	3.344018
u116	COL16A1	0	5.467896
u117	COL23A1	0	9.864043
u118	COL28A1	0	3.369047
u119	COL4A3	0	3.979842
u120	COL6A2	0	11.129514
u121	COL6A3	0	5.416112
u122	COL9A1	0	3.523188
u123	CPT1C	0	4.603578
u124	CREG2	0	3.282614
u125	CRIPAK	0	3.775067
u126	CRISPLD2	0	7.477593
u127	CRYGN	0	1.871593
u128	CSF1R	0	4.501331
u129	CTH	0	3.637781
u130	CTPS2	0	6.292568
u131	CTRB2	0	12.912496
u132	CXCL16	0	4.557501
u133	CXORF23	0	4.847512
u134	CXORF38	0	4.992476
u135	CYB561	0	3.209548
u136	CYFIP2	0	6.589765
u137	CYGB	0	16.496914
u138	CYP1A2	0	3.811643
u139	CYP27A1	0	4.394720
u140	CYP2B6	0	9.039804
u141	CYP7B1	0	6.809428
u142	CYYR1	0	1.917727
u143	DAAM2	0	8.954434
u144	DAK	0	2.683186
u145	DCLK1	0	6.300528
u146	DCTN5	0	3.095417
u147	DDB1	0	3.305719
u148	DDR1	0	6.388973
u149	DDX26B	0	3.418707
u150	DEPDC5	0	1.290511
u151	DHDH	0	1.947049
u152	DHX36	0	3.206414
u153	DICER1	0	4.247484
u154	DIS3L2	0	3.186773
u155	DLG2	0	1.542031
u156	DLK1	0	6.278551
u157	DMXL2	0	3.599894
u158	DNAH12	0	2.937604
u159	DPF1	0	6.754138
u160	DPY19L1	0	5.375978
u161	DST	0	5.782916
u162	DUOX1	0	3.706229
u163	DUS3L	0	3.594858
u164	DYNLT1	0	4.741723
u165	ECM2	0	3.581641
u166	ECT2L	0	2.647737
u167	EDIL3	0	7.422653
u168	EFHD1	0	8.249565
u169	EHD1	0	3.161942
u170	EID3	0	3.418606
u171	EIF4G3	0	7.130368
u172	EIF5	0	4.088473
u173	EMILIN3	0	10.022066
u174	ENO2	0	2.447958
u175	ENPP5	0	5.754585
u176	EPHA7	0	4.132994
u177	EPS15	0	8.296863
u178	ETV1	1	3.603882
u179	EWSR1	0	5.692768
u180	EXD3	0	3.360856
u181	F2RL2	0	3.674143
u182	FAM117B	0	5.291332
u183	FAM120A	0	3.427630
u184	FAM120C	0	4.153441
u185	FAM122B	0	4.999549
u186	FAM122C	0	2.233893
u187	FAM149B1	0	4.592030
u188	FAM230A	0	2.151416
u189	FAM69A	0	3.349691
u190	FANCD2	0	2.846006
u191	FBN1	0	1.571031
u192	FBRSL1	0	5.909541
u193	FBXW2	0	3.084503
u194	FGF17	0	2.190832
u195	FHL3	0	7.404307
u196	FKBPL	0	1.842402
u197	FLJ41455	0	2.153326
