UNIQID	NAME	miR-133a	miR-1	miR-92a	miR-21	miR-126
u2	ABCA9	0.000000	0.002111	0.000000	0.002063	1.432900
u3	ABCB11	0.000000	0.119297	0.088582	0.000000	0.000000
u4	ABCC3	0.000000	0.115655	0.110130	0.000000	0.000000
u5	ABCG4	0.078237	0.274620	0.000000	0.000000	0.000000
u6	ABI3BP	0.000655	0.000000	1.101641	0.063283	0.000000
u7	ACBD7	0.000000	0.000000	0.000000	0.000000	1.878041
u8	ACER3	0.000000	0.001657	0.163691	0.642800	0.130464
u9	ACR	0.365346	0.000000	0.000000	0.000000	-0.000000
u10	ACTG2	0.000000	0.161895	0.000000	0.935005	0.000000
u11	ADAMTSL3	0.441581	0.000000	0.000000	0.020457	0.000000
u12	ADARB2	0.000000	0.224683	0.180871	0.188641	0.000000
u13	ADCY1	0.115625	0.021168	0.437129	0.068956	0.000000
u14	ADGB	0.063780	0.192726	0.016385	0.000000	0.000000
u15	ADRBK2	0.000000	0.314923	0.000000	0.263781	0.000000
u16	AHI1	0.000000	0.098174	0.051470	0.481330	0.000000
u17	AHSP	0.000000	0.041944	0.116966	0.355810	0.132692
u18	AIF1L	0.000000	0.230009	0.018563	0.185529	0.000000
u19	ALDH1A1	0.000000	0.000000	0.000000	1.134344	0.024065
u20	ALDH1A3	0.155212	0.209872	0.000000	0.264906	0.000000
u21	ALOX5	0.083746	0.025441	0.126061	0.000000	0.000000
u22	AMMECR1	0.000000	0.000000	0.834657	0.052038	0.045109
u23	AMOT	0.000000	0.140684	0.379500	0.309517	0.000000
u24	AMPD2	0.000000	0.166239	0.107688	0.474908	0.050513
u25	ANKRD28	0.058115	0.248640	0.000000	0.382726	0.000000
u26	ANKRD36BP2	0.266728	0.000000	0.000000	0.000000	0.000000
u27	ANO10	0.000000	0.308544	0.000000	0.398227	0.000000
u28	ANTXR2	0.019960	0.004171	0.035900	0.000052	1.455732
u29	APCDD1L	0.434145	0.000000	0.000000	0.000000	0.000000
u30	APLP2	0.000000	0.000000	0.001335	0.000000	1.498384
u31	APPL2	0.259178	0.010664	0.220358	0.106794	0.003161
u32	ARHGAP17	0.000000	0.210419	0.000000	0.310612	0.000000
u33	ARHGAP22	0.000000	0.291649	0.000000	0.229224	0.000000
u34	ARHGAP29	0.459763	0.000000	0.000000	0.000000	-0.000000
u35	ARHGDIG	0.000000	0.268682	0.227287	0.148523	0.000000
u36	ARID1B	0.000000	0.000000	0.681556	0.121889	0.000000
u37	ARPC5	0.389311	0.000000	0.108041	0.000000	0.000000
u38	ASIC1	0.000000	0.138474	0.122688	0.243319	0.000000
u39	ATAD2	0.536375	0.000000	0.000000	0.053983	0.000000
u40	ATG10	0.000000	0.125508	0.000000	0.501278	0.000000
u41	ATG16L1	-2.283271	-5.071123	9.153525	-0.158630	-0.000000
u42	ATG4C	0.221620	0.000000	0.000000	0.000000	-0.000000
u43	ATP10B	0.020746	0.005518	0.033609	0.000011	1.428268
u44	ATP1A1	0.000000	0.000000	0.931458	0.010649	0.000250
u45	ATP6V1E2	0.000000	0.220181	0.222639	0.000000	0.000000
u46	B4GALNT3	0.000000	0.070634	0.119179	0.482794	0.026325
u47	B4GALT6	0.000000	0.152131	0.171503	0.000000	0.000000
u48	BAMBI	0.000000	0.038940	0.157221	0.000243	1.248050
u49	BBS2	0.266706	0.053477	0.047204	0.110091	0.000000
u50	BCL2L15	0.000000	0.236576	0.078285	0.000000	-0.000000
