Source	Target	IntType	TrueNNVeri	Weight
HIF1A	MIR-6516-3P	Inhabit	1	-0.008675
HIF1A	MIR-191-5P	Inhabit	1	-0.016017
HIF1A	MIR-491-5P	Inhabit	1	-0.018328
HIF1A	MIR-222-3P	Activate	1	0.083338
HIF1A	MIR-3607-3P	Activate	1	0.052436
HIF1A	MIR-378F	Activate	1	0.079257
HIF1A	MIR-378E	Activate	1	0.065434
HIF1A	MIR-191-3P	Activate	1	0.019644
HIF1A	MIR-378G	Activate	1	0.109626
HIF1A	MIR-495-3P	Activate	1	0.035199
HIF1A	MIR-4449	Activate	1	0.057873
HIF1A	MIR-30B-3P	Activate	1	0.027815
HIF1A	MIR-339-3P	Activate	1	0.028177
HIF1A	MIR-378D	Activate	1	0.065172
HIF1A	MIR-664A-3P	Activate	1	0.071087
HIF1A	MIR-6508-5P	Activate	1	0.030396
HIF1A	MIR-378A-5P	Activate	1	0.087322
HIF1A	MIR-361-3P	Activate	1	0.071844
HIF1A	MIR-17-3P	Activate	1	0.032185
HIF1A	MIR-34A-5P	Activate	1	0.085117
HIF1A	MIR-6812-5P	Activate	1	0.044824
HIF1A	MIR-4687-3P	Activate	1	0.069765
HIF1A	MIR-4257	Activate	1	0.028186
HIF1A	MIR-1268B	Activate	1	0.085338
HIF1A	MIR-3679-5P	Activate	1	0.063693
HIF1A	MIR-7110-5P	Activate	1	0.056117
HIF1A	MIR-8069	Activate	1	0.481118
HIF1A	MIR-7107-5P	Activate	1	0.065254
HIF1A	MIR-1268A	Activate	1	0.084700
HIF1A	MIR-4455	Activate	1	0.054189
HIF1A	MIR-1587	Activate	1	0.055449
HIF1A	MIR-133A-5P	Activate	1	0.104273
HIF1A	MIR-4725-5P	Activate	1	0.027276
HIF1A	MIR-664B-3P	Activate	1	0.071253
HIF1A	MIR-30B-5P	Activate	1	0.448200
HIF1A	MIR-186-5P	Activate	1	0.088158
HIF1A	MIR-3151-3P	Activate	1	0.965112
HIF1A	MIR-484	Activate	1	0.066094
HIF1A	MIR-652-3P	Activate	1	0.104983
HIF1A	MIR-10A-5P	Activate	1	0.045174
HIF1A	MIR-378I	Activate	1	0.429438
HIF1A	MIR-455-5P	Activate	1	0.056857
HIF1A	MIR-3653-3P	Activate	1	0.107337
HIF1A	MIR-378A-3P	Activate	1	0.425584
HIF1A	MIR-423-5P	Activate	1	0.099653
HIF1A	MIR-126	Activate	1	0.463542
HIF1A	MIR-1	Activate	1	6.197600
HIF1A	MIR-133A	Activate	1	0.417231
HIF1A	MIR-21	Activate	1	0.351245
HIF1A	MIR-92A	Activate	1	0.049494
STAT3	MIR-6516-3P	Inhabit	1	-0.008675
STAT3	MIR-191-5P	Inhabit	1	-0.016017
STAT3	MIR-491-5P	Inhabit	1	-0.018328
STAT3	MIR-222-3P	Activate	1	0.083338
STAT3	MIR-3607-3P	Activate	1	0.052436
STAT3	MIR-378F	Activate	1	0.079257
STAT3	MIR-378E	Activate	1	0.065434
