UNIQID	NAME	HIF1A	STAT3	STAT5A	RELA	STAT5B
d2	MIR-422A	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d3	MIR-6516-3P	-0.008675	-0.008675	-0.008675	-0.008675	-0.043282
d4	MIR-6848-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d5	MIR-486-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d6	MIR-3675-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d7	LET-7B-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d8	MIR-6731-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d9	MIR-6760-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d10	MIR-4323	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d11	MIR-191-5P	-0.016017	-0.016017	-0.016017	-0.016017	-0.075954
d12	MIR-491-5P	-0.018328	-0.018328	-0.018328	-0.018328	-0.085552
d13	MIR-222-3P	0.083338	0.083338	0.083338	0.083338	0.638072
d14	MIR-3607-3P	0.052436	0.052436	0.052436	0.052436	0.200415
d15	MIR-378F	0.079257	0.079257	0.079257	0.079257	0.280629
d16	MIR-378E	0.065434	0.065434	0.065434	0.065434	0.245970
d17	MIR-221-3P	0.000000	0.000000	0.000000	0.000000	1.333931
d18	MIR-191-3P	0.019644	0.019644	0.019644	0.019644	0.084305
d19	MIR-378G	0.109626	0.109626	0.109626	0.109626	0.333654
d20	MIR-495-3P	0.035199	0.035199	0.035199	0.035199	0.145429
d21	MIR-4449	0.057873	0.057873	0.057873	0.057873	0.221659
d22	MIR-30B-3P	0.027815	0.027815	0.027815	0.027815	0.105514
d23	MIR-339-3P	0.028177	0.028177	0.028177	0.028177	0.106654
d24	MIR-378D	0.065172	0.065172	0.065172	0.065172	0.724661
d25	MIR-664A-3P	0.071087	0.071087	0.071087	0.071087	0.291446
d26	MIR-6508-5P	0.030396	0.030396	0.030396	0.030396	0.118458
d27	MIR-378A-5P	0.087322	0.087322	0.087322	0.087322	0.616278
d28	MIR-361-3P	0.071844	0.071844	0.071844	0.071844	0.288290
d29	MIR-17-3P	0.032185	0.032185	0.032185	0.032185	0.130784
d30	MIR-6749-5P	0.000000	0.000000	0.000000	0.000000	1.056078
d31	MIR-34A-5P	0.085117	0.085117	0.085117	0.085117	0.624988
d32	MIR-6812-5P	0.044824	0.044824	0.044824	0.044824	0.181588
d33	MIR-4687-3P	0.069765	0.069765	0.069765	0.069765	0.296787
d34	MIR-4257	0.028186	0.028186	0.028186	0.028186	0.112511
d35	MIR-1268B	0.085338	0.085338	0.085338	0.085338	0.321093
d36	MIR-3679-5P	0.063693	0.063693	0.063693	0.063693	0.230073
d37	MIR-7110-5P	0.056117	0.056117	0.056117	0.056117	0.227530
d38	MIR-8069	0.481118	0.481118	0.481118	0.481118	0.000000
d39	MIR-7107-5P	0.065254	0.065254	0.065254	0.065254	0.278103
d40	MIR-1268A	0.084700	0.084700	0.084700	0.084700	0.322884
d41	MIR-4455	0.054189	0.054189	0.054189	0.054189	0.215398
d42	MIR-1587	0.055449	0.055449	0.055449	0.055449	0.229927
d43	MIR-133A-5P	0.104273	0.104273	0.104273	0.104273	0.508605
d44	MIR-4725-5P	0.027276	0.027276	0.027276	0.027276	0.111201
d45	MIR-664B-3P	0.071253	0.071253	0.071253	0.071253	0.290720
d46	MIR-30B-5P	0.448200	0.448200	0.448200	0.448200	0.000000
d47	MIR-30D-5P	0.000000	0.000000	0.000000	0.000000	1.538389
d48	MIR-186-5P	0.088158	0.088158	0.088158	0.088158	0.308870
d49	MIR-3151-3P	0.965112	0.965112	0.965112	0.965112	-3.240987
d50	MIR-484	0.066094	0.066094	0.066094	0.066094	0.273615
d51	MIR-7641	0.000000	0.000000	0.000000	0.000000	1.342050
d52	MIR-652-3P	0.104983	0.104983	0.104983	0.104983	0.353533
d53	MIR-10A-5P	0.045174	0.045174	0.045174	0.045174	0.183654
d54	MIR-378I	0.429438	0.429438	0.429438	0.429438	0.000000
d55	MIR-455-5P	0.056857	0.056857	0.056857	0.056857	0.219374
d56	MIR-125A-5P	0.000000	0.000000	0.000000	0.000000	1.273267
d57	MIR-30E-5P	0.000000	0.000000	0.000000	0.000000	1.398544
d58	MIR-3653-3P	0.107337	0.107337	0.107337	0.107337	0.343354
d59	MIR-378A-3P	0.425584	0.425584	0.425584	0.425584	0.000000
d60	MIR-423-5P	0.099653	0.099653	0.099653	0.099653	0.335890
mir1	MIR-126	0.463542	0.463542	0.463542	0.463542	0.000000
mir2	MIR-1	6.197600	6.197600	6.197600	6.197600	-22.281645
mir3	MIR-133A	0.417231	0.417231	0.417231	0.417231	0.000000
mir4	MIR-21	0.351245	0.351245	0.351245	0.351245	0.273927
mir5	MIR-92A	0.049494	0.049494	0.049494	0.049494	0.801993
