RowID	Symbol	TYPE	AveExVal
d2	MIR-422A	0	-0.267373
d3	MIR-6516-3P	0	-1.395100
d4	MIR-6848-3P	0	-0.260532
d5	MIR-486-3P	0	0.603669
d6	MIR-3675-3P	0	-0.515544
d7	LET-7B-3P	0	-0.121528
d8	MIR-6731-3P	0	-0.391294
d9	MIR-6760-3P	0	-0.732814
d10	MIR-4323	0	-0.414571
d11	MIR-191-5P	0	-1.727927
d12	MIR-491-5P	0	-1.879579
d13	MIR-222-3P	0	6.714946
d14	MIR-3607-3P	0	3.329716
d15	MIR-378F	0	4.396460
d16	MIR-378E	0	3.857235
d17	MIR-221-3P	0	8.662598
d18	MIR-191-3P	0	1.876865
d19	MIR-378G	0	5.512806
d20	MIR-495-3P	0	2.552920
d21	MIR-4449	0	3.479861
d22	MIR-30B-3P	0	2.125093
d23	MIR-339-3P	0	2.130144
d24	MIR-378D	0	6.976476
d25	MIR-664A-3P	0	4.249192
d26	MIR-6508-5P	0	2.265369
d27	MIR-378A-5P	0	6.543470
d28	MIR-361-3P	0	4.323814
d29	MIR-17-3P	0	2.418334
d30	MIR-6749-5P	0	7.527139
d31	MIR-34A-5P	0	6.545669
d32	MIR-6812-5P	0	2.949698
d33	MIR-4687-3P	0	4.212870
d34	MIR-4257	0	2.148891
d35	MIR-1268B	0	4.883815
d36	MIR-3679-5P	0	3.701809
d37	MIR-7110-5P	0	3.549900
d38	MIR-8069	0	12.108238
d39	MIR-7107-5P	0	4.088482
d40	MIR-1268A	0	4.863095
d41	MIR-4455	0	3.403346
d42	MIR-1587	0	3.568193
d43	MIR-133A-5P	0	6.289795
d44	MIR-4725-5P	0	2.198579
d45	MIR-664B-3P	0	4.279558
d46	MIR-30B-5P	0	11.334971
d47	MIR-30D-5P	0	9.848671
d48	MIR-186-5P	0	4.850711
d49	MIR-3151-3P	0	2.040745
d50	MIR-484	0	4.077583
d51	MIR-7641	0	8.717116
d52	MIR-652-3P	0	5.370217
d53	MIR-10A-5P	0	3.032771
d54	MIR-378I	0	10.902654
d55	MIR-455-5P	0	3.451943
d56	MIR-125A-5P	0	8.315689
d57	MIR-30E-5P	0	9.042563
d58	MIR-3653-3P	0	5.451242
d59	MIR-378A-3P	0	10.813921
d60	MIR-423-5P	0	5.161207
mir1	MIR-126	0	11.701098
mir2	MIR-1	0	13.766013
mir3	MIR-133A	0	10.623716
mir4	MIR-21	0	10.315801
mir5	MIR-92A	0	7.100959
