UNIQID	NAME	HIF1A	STAT3	STAT5A	STAT5B	RELA
d2	MIR-422A	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d3	MIR-6516-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d4	MIR-6848-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d5	MIR-486-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d6	MIR-3675-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d7	LET-7B-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d8	MIR-6731-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d9	MIR-6760-3P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d10	MIR-4323	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d11	MIR-191-5P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d12	MIR-491-5P	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
d13	MIR-222-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d14	MIR-3607-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d15	MIR-378F	0.000000	0.000000	0.000000	0.000000	0.000000
d16	MIR-378E	0.000000	0.000000	0.000000	0.000000	0.000000
d17	MIR-221-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d18	MIR-191-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d19	MIR-378G	0.000000	0.000000	0.000000	0.000000	0.000000
d20	MIR-495-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d21	MIR-4449	0.000000	0.000000	0.000000	0.000000	0.000000
d22	MIR-30B-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d23	MIR-339-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d24	MIR-378D	0.000000	0.000000	0.000000	0.000000	0.000000
d25	MIR-664A-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d26	MIR-6508-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d27	MIR-378A-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d28	MIR-361-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d29	MIR-17-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d30	MIR-6749-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d31	MIR-34A-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d32	MIR-6812-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d33	MIR-4687-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d34	MIR-4257	0.000000	0.000000	0.000000	0.000000	0.000000
d35	MIR-1268B	0.000000	0.000000	0.000000	0.000000	0.000000
d36	MIR-3679-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d37	MIR-7110-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d38	MIR-8069	0.338011	0.338011	0.338011	0.338011	0.338011
d39	MIR-7107-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d40	MIR-1268A	0.000000	0.000000	0.000000	0.000000	0.000000
d41	MIR-4455	0.000000	0.000000	0.000000	0.000000	0.000000
d42	MIR-1587	0.000000	0.000000	0.000000	0.000000	0.000000
d43	MIR-133A-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d44	MIR-4725-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d45	MIR-664B-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d46	MIR-30B-5P	0.182355	0.182355	0.182355	0.182355	0.182355
d47	MIR-30D-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d48	MIR-186-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d49	MIR-3151-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d50	MIR-484	0.000000	0.000000	0.000000	0.000000	0.000000
d51	MIR-7641	0.000000	0.000000	0.000000	0.000000	0.000000
d52	MIR-652-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d53	MIR-10A-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d54	MIR-378I	0.093641	0.093641	0.093641	0.093641	0.093641
d55	MIR-455-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d56	MIR-125A-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d57	MIR-30E-5P	0.000000	0.000000	0.000000	0.000000	0.000000
d58	MIR-3653-3P	0.000000	0.000000	0.000000	0.000000	0.000000
d59	MIR-378A-3P	0.075416	0.075416	0.075416	0.075416	0.075416
d60	MIR-423-5P	0.000000	0.000000	0.000000	0.000000	0.000000
mir1	MIR-126	0.254902	0.254902	0.254902	0.254902	0.254902
mir2	MIR-1	0.703501	0.703501	0.703501	0.703501	0.703501
mir3	MIR-133A	0.035919	0.035919	0.035919	0.035919	0.035919
mir4	MIR-21	0.000000	0.000000	0.000000	0.000000	0.000000
mir5	MIR-92A	0.000000	0.000000	0.000000	0.000000	0.000000
