d1	mir	case1	case2	case3	control1	control2	control3
d61	miR-4800-5p	4.942274	4.7939034	3.779674	3.179348	3.520114	3.4803224
d62	miR-7847-3p	2.4533982	3.1658463	1.8994644	1.2201482	1.1375653	1.2697437
d63	miR-3141	2.8264058	3.048685	1.8225374	1.1246831	1.1646299	1.2850316
d64	miR-4298	2.9905617	3.5458198	2.1417727	1.4873782	1.5912133	1.2975569
d65	miR-6510-5p	2.965576	3.9685247	1.3544903	0.50307596	0.4865958	-3.2630918
d66	miR-4701-3p	4.0338135	2.9148166	2.7668517	-0.5044416	1.6840037	-3.2630918
d67	miR-6775-5p	1.9278735	2.8901024	1.5308865	0.20455977	-3.2470224	-3.2630918
d68	miR-2392	1.8898005	0.32607487	1.3466527	-3.2768507	-3.2470224	-3.2630918
d69	miR-6794-5p	2.5299604	2.4533982	1.4873782	-3.28E+00	-3.2470224	-3.2630918
d70	miR-8071	2.8901024	2.355067	1.4035743	-3.28E+00	-3.2470224	-3.2630918
d71	miR-6832-5p	4.8520465	1.1375653	2.3445861	-3.2768507	-3.2470224	-3.2630918
d72	miR-6793-5p	4.1504426	1.9804062	2.584857	-3.2768507	-3.2470224	-3.2630918
d73	miR-4281	6.2457066	6.3272233	6.130864	5.801134	5.8310776	5.895127
d74	miR-6740-5p	4.494543	4.5673556	4.322386	4.189077	4.0338135	3.9236221
d75	miR-4669	3.9347	3.7884147	3.6173606	3.3460793	3.225824	3.3107839
d76	miR-382-5p	2.6872063	2.541176	2.0757437	1.795642	2.083073	1.836386
d77	miR-1202	6.7138143	7.037117	7.037117	6.42058	6.3962374	6.2457066
d78	miR-4428	4.3025093	4.635107	4.4577036	4.1504426	4.2484584	4.1400375
d79	miR-1207-5p	5.501425	5.661459	5.270001	5.270001	5.1464357	5.1464357
d80	miR-6087	6.820665	6.5033283	6.42058	6.2867856	6.2061377	6.2867856
d81	let-7c-5p	10.86741	11.109009	11.204041	10.86741	10.688361	10.651847
d82	miR-6756-5p	3.2977116	3.1181219	2.965576	2.9058962	2.7798836	2.6387126
d83	miR-376a-3p	5.713905	5.6842203	5.6422434	5.1336145	5.4167395	5.387502
mir1	miR-126	11.592332	11.333463	11.88667	12.030331	11.333463	12.030331
mir2	miR-1	13.474858	14.363854	13.760835	13.474858	13.760835	13.760835
mir3	miR-133a	10.41942	10.615025	10.615025	10.688361	10.651847	10.752619
mir4	miR-21	11.050524	10.752619	9.714092	10.752619	9.662074	9.962876
mir5	miR-92a	7.155839	7.071119	6.590381	7.1043634	7.178471	7.505578

